workerid,nounclass,predicate2English,predicate1English,slide_number,sense,nounEnglish,class2,response,condition,class1
0,food,beautiful,short,3,no,tomato,age,0.57,first,size
0,food,red,plastic,4,no,cheese,color,0.64,both,material
0,furniture,bad,old,5,no,TV,quality,0.79,second,age
0,food,long,hard,6,no,banana,size,0.79,neither,texture
0,furniture,long,good,7,no,table,size,0.91,second,quality
0,food,hard,beautiful,8,no,cheese,texture,0.76,neither,age
0,furniture,brown,good,9,no,chair,color,0.7,neither,quality
0,food,new,wooden,10,no,tomato,age,0.87,neither,material
0,furniture,purple,soft,11,no,fan,color,0.75,first,texture
0,food,narrow,green,12,no,carrot,size,0.75,both,color
0,food,brown,square,13,no,banana,color,0.8,second,shape
0,furniture,narrow,soft,14,no,couch,size,0.82,neither,texture
0,food,plastic,old,15,no,tomato,material,0.74,second,age
0,furniture,plastic,wet,16,no,fan,material,0.81,neither,texture
0,food,red,good,17,no,apple,color,0.78,neither,quality
0,food,dry,short,18,no,tomato,texture,0.76,neither,size
0,food,blue,small,19,no,tomato,color,0.84,both,size
0,food,good,square,20,no,banana,quality,0.87,first,shape
0,furniture,purple,new,21,no,table,color,0.8,first,age
0,furniture,short,round,22,no,couch,size,0.81,both,shape
0,furniture,wet,beautiful,23,no,fan,texture,0.79,neither,age
0,furniture,plastic,old,24,no,table,material,0.82,both,age
0,food,metal,red,25,no,apple,material,0.76,second,color
0,food,good,wet,26,no,apple,quality,0.8,both,texture
0,furniture,wet,yellow,27,no,couch,texture,0.83,first,color
0,food,long,plastic,28,no,carrot,size,0.77,second,material
1,food,dry,short,3,NA,carrot,texture,0,neither,size
1,furniture,bad,plastic,4,no,fan,quality,NA,second,material
1,food,wide,wooden,5,NA,carrot,size,0,second,material
1,furniture,round,narrow,6,NA,table,shape,0,first,size
1,furniture,big,wet,7,no,chair,size,0,second,texture
1,furniture,good,soft,8,NA,fan,quality,0,first,texture
1,food,plastic,beautiful,9,NA,apple,material,0,second,age
1,food,old,red,10,NA,tomato,age,0,first,color
1,furniture,brown,hard,11,NA,table,color,0,second,texture
1,food,wide,metal,12,NA,tomato,size,0.99,second,material
1,food,plastic,small,13,NA,tomato,material,1,neither,size
1,food,metal,yellow,14,NA,banana,material,0,neither,color
1,food,wooden,square,15,NA,apple,material,0,neither,shape
1,food,beautiful,red,16,NA,cheese,age,0,second,color
1,furniture,bad,plastic,17,no,fan,quality,NA,both,material
1,food,plastic,round,18,NA,carrot,material,0,second,shape
1,furniture,new,metal,19,no,TV,age,0,second,material
1,furniture,wet,bad,20,NA,fan,texture,1,first,quality
1,furniture,wooden,wet,21,NA,chair,material,1,first,texture
1,furniture,hard,wooden,22,NA,table,texture,1,second,material
1,food,bad,small,23,NA,tomato,quality,1,first,size
1,food,yellow,metal,24,NA,cheese,color,1,first,material
1,furniture,green,hard,25,NA,chair,color,0.59,second,texture
1,food,red,small,26,NA,banana,color,1,both,size
1,food,brown,bad,27,no,banana,color,NA,second,quality
1,furniture,beautiful,bad,28,NA,couch,age,1,first,quality
2,furniture,wet,wooden,3,no,couch,texture,0.83,both,material
2,food,old,brown,4,no,tomato,age,0.33,both,color
2,food,bad,dry,5,NA,cheese,quality,0.1,first,texture
2,food,small,wooden,6,no,carrot,size,0.54,second,material
2,furniture,long,new,7,no,fan,size,0.16,second,age
2,food,metal,green,8,no,cheese,material,0.91,second,color
2,food,bad,short,9,no,carrot,quality,0.15,second,size
2,furniture,hard,wide,10,no,chair,texture,0.69,first,size
2,food,green,wet,11,no,carrot,color,0.28,neither,texture
2,furniture,wet,old,12,no,chair,texture,0.87,second,age
2,food,old,plastic,13,no,apple,age,0.11,second,material
2,furniture,blue,long,14,no,chair,color,0.23,both,size
2,furniture,wooden,yellow,15,no,couch,material,0.87,second,color
2,food,square,new,16,no,tomato,shape,0.2,both,age
2,food,good,short,17,no,apple,quality,0.87,first,size
2,food,plastic,small,18,no,banana,material,0.18,neither,size
2,food,square,new,19,no,carrot,shape,0.91,first,age
2,food,brown,square,20,no,cheese,color,0.1,second,shape
2,food,old,metal,21,no,cheese,age,0.91,both,material
2,food,blue,beautiful,22,no,apple,color,0.19,both,age
2,food,blue,big,23,no,banana,color,0.9,both,size
2,food,metal,narrow,24,NA,apple,material,0.09,second,size
2,food,beautiful,blue,25,NA,cheese,age,0.74,second,color
2,furniture,metal,old,26,NA,fan,material,0.17,second,age
2,furniture,metal,hard,27,NA,couch,material,0.87,neither,texture
2,furniture,new,round,28,no,fan,age,0.12,second,shape
3,food,narrow,wet,3,no,banana,size,NA,second,texture
3,furniture,old,wooden,4,NA,couch,age,0.51,both,material
3,furniture,small,green,5,NA,TV,size,0.01,neither,color
3,food,bad,wide,6,no,carrot,quality,NA,first,size
3,furniture,soft,small,7,NA,chair,texture,0.99,neither,size
3,food,yellow,narrow,8,no,tomato,color,NA,neither,size
3,furniture,long,bad,9,no,TV,size,0.01,first,quality
3,food,purple,long,10,no,apple,color,NA,second,size
3,furniture,new,round,11,no,TV,age,NA,second,shape
3,food,yellow,good,12,NA,apple,color,0.98,second,quality
3,food,green,small,13,NA,apple,color,0.98,neither,size
3,food,metal,narrow,14,no,apple,material,NA,neither,size
3,food,good,long,15,NA,carrot,quality,0.01,first,size
3,furniture,big,yellow,16,NA,TV,size,1,first,color
3,furniture,soft,new,17,no,table,texture,0.98,neither,age
3,furniture,blue,metal,18,NA,TV,color,0.54,both,material
3,furniture,beautiful,hard,19,no,TV,age,NA,first,texture
3,furniture,red,good,20,NA,chair,color,0.98,second,quality
3,food,wet,blue,21,no,cheese,texture,NA,both,color
3,food,wet,metal,22,no,banana,texture,NA,neither,material
3,furniture,wide,red,23,NA,couch,size,0.97,first,color
3,furniture,old,soft,24,NA,chair,age,0.03,first,texture
3,food,short,yellow,25,NA,banana,size,0.5,both,color
3,furniture,beautiful,hard,26,no,couch,age,0.52,both,texture
3,furniture,small,new,27,NA,table,size,0.51,both,age
3,furniture,yellow,bad,28,NA,fan,color,0.48,both,quality
4,food,big,bad,3,no,apple,size,0.45,both,quality
4,furniture,long,blue,4,no,table,size,NA,second,color
4,furniture,purple,good,5,no,fan,color,NA,neither,quality
4,furniture,small,new,6,no,table,size,NA,second,age
4,furniture,narrow,wooden,7,NA,TV,size,0.49,both,material
4,furniture,narrow,plastic,8,NA,table,size,0.74,second,material
4,food,brown,round,9,NA,tomato,color,0.47,both,shape
4,food,narrow,hard,10,no,banana,size,NA,second,texture
4,food,metal,yellow,11,no,cheese,material,NA,first,color
4,furniture,plastic,new,12,NA,chair,material,0.49,neither,age
4,furniture,small,soft,13,no,table,size,NA,second,texture
4,furniture,blue,good,14,NA,TV,color,0.49,both,quality
4,furniture,dry,old,15,NA,fan,texture,0.5,both,age
4,food,wet,green,16,no,apple,texture,NA,both,color
4,furniture,plastic,beautiful,17,NA,chair,material,1,first,age
4,food,blue,square,18,no,cheese,color,NA,second,shape
4,furniture,red,bad,19,NA,chair,color,0.51,both,quality
4,furniture,bad,metal,20,NA,fan,quality,0,first,material
4,furniture,good,beautiful,21,no,fan,quality,0.5,second,age
4,furniture,soft,round,22,no,chair,texture,0.49,neither,shape
4,food,red,big,23,no,cheese,color,NA,second,size
4,food,wide,good,24,no,tomato,size,NA,first,quality
4,furniture,yellow,new,25,NA,TV,color,1,both,age
4,furniture,wooden,green,26,NA,chair,material,0.5,both,color
4,furniture,blue,big,27,NA,table,color,1,neither,size
4,furniture,wide,dry,28,no,table,size,NA,second,texture
5,furniture,round,beautiful,3,NA,couch,shape,0.48,both,age
5,food,brown,wooden,4,NA,cheese,color,0,neither,material
5,furniture,red,narrow,5,NA,chair,color,0.53,neither,size
5,food,good,long,6,NA,apple,quality,0.95,both,size
5,food,wooden,green,7,NA,apple,material,0.98,second,color
5,food,big,good,8,NA,tomato,size,0.5,both,quality
5,furniture,good,brown,9,NA,fan,quality,0.01,first,color
5,food,bad,plastic,10,no,tomato,quality,NA,second,material
5,furniture,plastic,red,11,NA,TV,material,0.49,both,color
5,furniture,blue,beautiful,12,NA,couch,color,0.47,second,age
5,food,red,big,13,NA,cheese,color,0.49,both,size
5,furniture,square,wet,14,no,fan,shape,NA,second,texture
5,furniture,brown,long,15,NA,table,color,0.51,both,size
5,food,wet,good,16,NA,cheese,texture,0.7,first,quality
5,food,yellow,dry,17,NA,banana,color,0.51,neither,texture
5,food,narrow,round,18,NA,carrot,size,0.5,second,shape
5,food,short,brown,19,no,tomato,size,NA,first,color
5,food,wooden,red,20,NA,apple,material,0.49,neither,color
5,food,plastic,bad,21,NA,tomato,material,0.95,neither,quality
5,food,purple,metal,22,no,carrot,color,NA,second,material
5,food,brown,bad,23,no,apple,color,NA,both,quality
5,food,brown,wooden,24,no,tomato,color,NA,first,material
5,furniture,green,small,25,NA,fan,color,0.51,neither,size
5,furniture,narrow,yellow,26,NA,chair,size,0.48,neither,color
5,furniture,good,green,27,NA,fan,quality,0.01,second,color
5,food,purple,small,28,NA,carrot,color,0.47,neither,size
6,furniture,blue,old,3,NA,table,color,0.63,second,age
6,food,red,hard,4,NA,banana,color,0.26,both,texture
6,food,blue,soft,5,NA,apple,color,0.63,both,texture
6,food,round,long,6,NA,tomato,shape,0.39,second,size
6,furniture,small,beautiful,7,NA,couch,size,0.75,second,age
6,food,metal,bad,8,NA,tomato,material,0.56,neither,quality
6,furniture,short,soft,9,NA,chair,size,0.78,first,texture
6,food,new,brown,10,NA,tomato,age,0.26,neither,color
6,furniture,old,brown,11,no,table,age,0.29,second,color
6,food,beautiful,metal,12,NA,banana,age,0.59,second,material
6,food,new,hard,13,NA,cheese,age,0.8,first,texture
6,food,beautiful,plastic,14,NA,tomato,age,0.42,both,material
6,furniture,plastic,wet,15,NA,chair,material,0.83,first,texture
6,furniture,hard,yellow,16,NA,TV,texture,0.5,first,color
6,furniture,blue,short,17,NA,couch,color,0.23,second,size
6,furniture,square,blue,18,NA,chair,shape,0.72,neither,color
6,furniture,red,new,19,NA,TV,color,0.42,neither,age
6,food,wooden,brown,20,NA,apple,material,0.65,both,color
6,food,bad,yellow,21,NA,cheese,quality,0.38,neither,color
6,food,metal,green,22,NA,cheese,material,0.75,second,color
6,food,square,long,23,NA,tomato,shape,0.36,first,size
6,food,purple,hard,24,NA,carrot,color,0.71,both,texture
6,furniture,dry,beautiful,25,NA,fan,texture,0.4,neither,age
6,furniture,green,wet,26,NA,TV,color,0.66,both,texture
6,food,old,wet,27,NA,carrot,age,0.17,neither,texture
6,furniture,hard,long,28,NA,couch,texture,0.58,both,size
7,furniture,wooden,red,3,NA,chair,material,0.65,second,color
7,furniture,red,new,4,NA,table,color,0.29,neither,age
7,furniture,big,blue,5,NA,couch,size,0.44,neither,color
7,furniture,short,green,6,NA,TV,size,0.7,both,color
7,furniture,green,hard,7,NA,chair,color,0.38,first,texture
7,furniture,new,brown,8,NA,table,age,0.57,both,color
7,furniture,old,dry,9,NA,chair,age,0.69,both,texture
7,food,soft,wooden,10,NA,tomato,texture,0.5,second,material
7,furniture,dry,narrow,11,NA,chair,texture,0.33,both,size
7,food,hard,square,12,NA,banana,texture,0.63,both,shape
7,furniture,beautiful,red,13,NA,chair,age,0.42,both,color
7,furniture,dry,old,14,NA,chair,texture,0.6,first,age
7,food,brown,good,15,NA,apple,color,0.41,both,quality
7,food,dry,plastic,16,NA,apple,texture,0.21,second,material
7,food,good,blue,17,NA,tomato,quality,0.56,second,color
7,food,beautiful,small,18,NA,tomato,age,0.41,both,size
7,food,blue,new,19,NA,tomato,color,0.66,second,age
7,furniture,red,metal,20,NA,TV,color,0.3,second,material
7,furniture,brown,narrow,21,NA,TV,color,0.58,both,size
7,food,round,beautiful,22,NA,apple,shape,0.39,neither,age
7,food,beautiful,small,23,NA,tomato,age,0.84,neither,size
7,furniture,beautiful,metal,24,NA,couch,age,0.57,neither,material
7,food,wet,big,25,NA,tomato,texture,0.74,second,size
7,furniture,old,wet,26,NA,fan,age,0.33,neither,texture
7,food,dry,small,27,NA,tomato,texture,0.55,first,size
7,food,big,good,28,NA,banana,size,0.32,first,quality
8,furniture,hard,good,3,no,couch,texture,0.74,second,quality
8,food,wet,brown,4,no,apple,texture,0.84,both,color
8,furniture,plastic,dry,5,no,couch,material,0.75,first,texture
8,furniture,big,round,6,no,fan,size,0.89,first,shape
8,food,blue,old,7,no,cheese,color,0.86,second,age
8,food,dry,round,8,no,banana,texture,0.65,both,shape
8,furniture,wide,green,9,no,fan,size,0.6,neither,color
8,furniture,blue,long,10,no,table,color,0.7,first,size
8,food,hard,beautiful,11,no,cheese,texture,0.72,both,age
8,food,wet,green,12,no,apple,texture,0.71,neither,color
8,furniture,wooden,wide,13,no,table,material,0.61,neither,size
8,furniture,good,wet,14,no,fan,quality,0.72,second,texture
8,furniture,hard,blue,15,no,fan,texture,0.85,second,color
8,food,green,bad,16,no,tomato,color,0.97,first,quality
8,food,purple,wide,17,no,tomato,color,0.77,second,size
8,furniture,wide,brown,18,no,couch,size,0.69,second,color
8,food,purple,bad,19,no,apple,color,0.78,second,quality
8,furniture,wooden,bad,20,no,table,material,0.63,neither,quality
8,furniture,old,round,21,no,chair,age,0.6,both,shape
8,food,blue,short,22,no,apple,color,0.76,first,size
8,food,brown,beautiful,23,no,carrot,color,0.82,both,age
8,food,soft,wooden,24,no,banana,texture,0.7,both,material
8,furniture,big,purple,25,no,fan,size,0.6,first,color
8,furniture,new,good,26,no,fan,age,0.87,first,quality
8,furniture,beautiful,purple,27,no,chair,age,0.62,second,color
8,food,brown,old,28,no,banana,color,0.7,both,age
