date,workerid,amount
Thu Feb 28 08:54:47 PST 2019,A1RAMKQ7DTZSY9,0.4
Thu Feb 28 08:56:06 PST 2019,A1198W1SPF1R4,0.4
Thu Feb 28 09:00:00 PST 2019,A1EK8YNHZHTW1J,0.4
Thu Feb 28 09:02:04 PST 2019,AUSDM3KALROGI,0.4
Thu Feb 28 10:47:46 PST 2019,AUJ8IQTUW4MU3,0.4
Thu Feb 28 10:47:59 PST 2019,A2R8TU69NDUU4U,0.4
Thu Feb 28 11:42:15 PST 2019,A1OC9TAY4UAPW0,0.4
Thu Feb 28 12:19:16 PST 2019,A3L7FCPKZ3LGNK,0.4
Thu Feb 28 12:49:22 PST 2019,A25I110YXT1QRA,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
