date,workerid,amount
Thu Mar 14 10:09:16 PDT 2019,A16LNPM2FY2ZE1,0.4
Thu Mar 14 10:15:38 PDT 2019,A1KHRQ121JTDF6,0.4
Thu Mar 14 20:42:57 PDT 2019,A22EONKWYRJTYP,0.4
Fri Mar 15 02:50:54 PDT 2019,A2M5YIOR0MJUSA,0.4
Fri Mar 15 05:00:14 PDT 2019,A2B6OA4V8YABCZ,0.4
Sun Mar 17 17:03:20 PDT 2019,A9WFXKAF1RF5Q,0.4
Mon Mar 18 13:53:42 PDT 2019,AOVLJDV0ZZPGO,0.4
Mon Mar 18 14:47:47 PDT 2019,A2YOJYZKQ6P45D,0.4
Mon Mar 18 22:25:01 PDT 2019,A9Q29DG9Z39BI,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
