workerid,nounclass,predicate2English,predicate1English,slide_number,sense,nounEnglish,class2,response,condition,class1,assess,yearsLived,lived,outsideLanguage,language,enjoyment,gender,age,describe,comments,proficiency,education,homeLanguage,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,furniture,wooden,hard,3,no,fan,material,NA,neither,texture,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,furniture,bad,beautiful,4,no,fan,quality,NA,both,age,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,food,purple,round,5,no,banana,color,NA,second,shape,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,food,dry,narrow,6,no,banana,texture,NA,second,size,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,food,small,yellow,7,no,apple,size,NA,first,color,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,furniture,wooden,red,8,no,chair,material,NA,first,color,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,furniture,small,dry,9,no,TV,size,NA,neither,texture,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,furniture,hard,small,10,no,TV,texture,NA,both,size,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,furniture,red,wet,11,no,chair,color,NA,both,texture,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
0,food,yellow,beautiful,12,no,carrot,color,NA,second,age,Yes,1to5,before8,other,2546,2,Female,2464,ChineseEnglish,2465,advanced,1,english,Windows,768,1366,Chrome,36MUZ9VAE6XECUG26WKELAFZMOBEDN,3LOAKXD6JCLS3V8PIPKFBEPTKRTREN,汉语语句 ,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语,$0.40,Thu Mar 14 09:58:16 PDT 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Apr 13 09:58:16 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=36MUZ9VAE6XECUG26WKELAFZMOBEDN,3A1PQ49WVIDZRTPL76DRUU7R1U6H1R,0,Approved,Fri Mar 15 13:23:48 PDT 2019,Thu Mar 14 20:41:33 PDT 2019,Thu Mar 14 20:43:48 PDT 2019,Fri Mar 15 13:24:37 PDT 2019,,,,,[],1.5857666666666668
