workerid,nounclass,predicate2English,predicate1English,slide_number,sense,nounEnglish,class2,response,condition,class1
0,food,beautiful,brown,3,no,apple,age,0.36,first,color
0,furniture,red,beautiful,4,NA,fan,color,0.63,second,age
0,food,soft,long,5,no,carrot,texture,0.3,neither,size
0,furniture,purple,wet,6,NA,couch,color,0.61,second,texture
0,food,small,old,7,NA,banana,size,0.47,neither,age
0,furniture,round,yellow,8,no,table,shape,0.35,neither,color
0,furniture,good,old,9,NA,TV,quality,0.65,second,age
0,food,metal,good,10,no,carrot,material,0.48,second,quality
0,food,wide,dry,11,no,carrot,size,NA,first,texture
0,food,wooden,round,12,NA,apple,material,0.62,first,shape
0,furniture,yellow,short,13,NA,table,color,0.51,neither,size
0,food,new,soft,14,NA,tomato,age,0.43,first,texture
0,food,wide,green,15,no,tomato,size,0.51,first,color
0,furniture,soft,short,16,no,fan,texture,0.37,first,size
0,food,new,wide,17,no,carrot,age,0.49,first,size
0,furniture,round,wooden,18,no,chair,shape,0.6,first,material
0,food,square,brown,19,no,banana,shape,0.51,both,color
0,food,soft,purple,20,no,apple,texture,0.68,second,color
0,furniture,wooden,wet,21,no,table,material,0.61,both,texture
0,food,brown,bad,22,NA,carrot,color,0.62,first,quality
0,furniture,purple,small,23,NA,fan,color,0.77,both,size
0,food,new,brown,24,no,carrot,age,0.52,neither,color
0,furniture,good,wooden,25,NA,fan,quality,0.51,second,material
0,food,plastic,green,26,NA,carrot,material,0.62,first,color
0,furniture,beautiful,soft,27,no,fan,age,0.43,second,texture
0,food,dry,old,28,NA,carrot,texture,0.65,neither,age
1,furniture,yellow,narrow,3,no,table,color,NA,second,size
1,furniture,metal,red,4,no,TV,material,0.36,both,color
1,furniture,old,bad,5,no,TV,age,NA,neither,quality
1,food,beautiful,bad,6,no,banana,age,NA,neither,quality
1,furniture,wide,purple,7,no,chair,size,NA,neither,color
1,food,beautiful,dry,8,no,banana,age,NA,first,texture
1,food,soft,short,9,no,banana,texture,NA,first,size
1,furniture,wet,old,10,NA,couch,texture,0.95,both,age
1,furniture,wide,round,11,no,chair,size,NA,first,shape
1,furniture,wide,bad,12,no,fan,size,0.97,both,quality
1,furniture,small,blue,13,NA,TV,size,0.03,neither,color
1,furniture,big,good,14,NA,table,size,0.97,neither,quality
1,furniture,wooden,narrow,15,NA,table,material,0.07,first,size
1,food,long,new,16,NA,banana,size,0.96,neither,age
1,furniture,brown,small,17,no,fan,color,0.97,neither,size
1,food,bad,wooden,18,no,banana,quality,NA,neither,material
1,food,purple,metal,19,no,apple,color,NA,second,material
1,food,new,yellow,20,NA,tomato,age,0.06,second,color
1,food,dry,new,21,NA,cheese,texture,0.94,second,age
1,food,purple,new,22,NA,apple,color,0.96,first,age
1,food,big,green,23,NA,apple,size,0.04,first,color
1,furniture,bad,wooden,24,no,table,quality,NA,both,material
1,furniture,long,old,25,no,couch,size,NA,both,age
1,furniture,soft,big,26,NA,chair,texture,0.96,second,size
1,food,short,beautiful,27,no,cheese,size,NA,second,age
1,furniture,wooden,small,28,NA,couch,material,0.02,second,size
2,food,plastic,small,3,NA,apple,material,0,neither,size
2,furniture,red,new,4,NA,chair,color,1,neither,age
2,food,new,blue,5,NA,apple,age,0,both,color
2,food,green,big,6,NA,banana,color,1,both,size
2,food,plastic,blue,7,NA,cheese,material,1,second,color
2,food,round,wet,8,NA,tomato,shape,1,second,texture
2,food,plastic,round,9,NA,banana,material,1,both,shape
2,food,green,old,10,NA,apple,color,1,second,age
2,furniture,metal,square,11,NA,couch,material,1,both,shape
2,food,old,dry,12,NA,banana,age,1,first,texture
2,food,green,long,13,NA,carrot,color,1,first,size
2,furniture,yellow,narrow,14,NA,chair,color,1,both,size
2,food,short,dry,15,NA,cheese,size,0,both,texture
2,furniture,small,new,16,NA,TV,size,1,first,age
2,furniture,round,good,17,NA,TV,shape,0,both,quality
2,food,soft,old,18,no,cheese,texture,0.42,second,age
2,food,red,plastic,19,NA,carrot,color,1,neither,material
2,food,wet,plastic,20,NA,apple,texture,0,neither,material
2,furniture,yellow,plastic,21,NA,table,color,1,neither,material
2,food,metal,green,22,NA,carrot,material,1,both,color
2,furniture,new,green,23,NA,couch,age,0,first,color
2,furniture,round,brown,24,NA,fan,shape,0,both,color
2,food,square,yellow,25,no,banana,shape,1,second,color
2,furniture,square,soft,26,NA,table,shape,1,first,texture
2,food,good,new,27,NA,cheese,quality,1,first,age
2,furniture,new,metal,28,NA,table,age,0.04,both,material
3,food,old,plastic,3,NA,banana,age,0.31,first,material
3,food,wet,bad,4,NA,banana,texture,0.6,neither,quality
3,furniture,brown,plastic,5,no,fan,color,0.46,both,material
3,furniture,red,small,6,NA,fan,color,0.79,both,size
3,furniture,purple,new,7,NA,chair,color,0.36,neither,age
3,furniture,wide,purple,8,NA,couch,size,0.75,neither,color
3,food,bad,dry,9,NA,tomato,quality,0.77,neither,texture
3,food,new,short,10,NA,carrot,age,0.22,second,size
3,furniture,small,soft,11,NA,TV,size,0.36,neither,texture
3,food,bad,plastic,12,NA,tomato,quality,0.25,neither,material
3,furniture,brown,long,13,NA,chair,color,0.6,second,size
3,furniture,wet,square,14,NA,couch,texture,0.56,second,shape
3,furniture,new,big,15,NA,chair,age,0.23,second,size
3,food,bad,small,16,no,banana,quality,0.35,neither,size
3,furniture,wide,yellow,17,NA,couch,size,0.16,second,color
3,furniture,brown,small,18,NA,chair,color,0.57,both,size
3,furniture,brown,short,19,NA,TV,color,0.34,first,size
3,food,square,wide,20,NA,carrot,shape,0.33,first,size
3,food,wet,old,21,no,apple,texture,0.46,first,age
3,food,wooden,round,22,NA,tomato,material,0.2,neither,shape
3,food,wet,square,23,no,carrot,texture,0.5,neither,shape
3,food,purple,big,24,NA,tomato,color,0.72,neither,size
3,furniture,soft,metal,25,NA,TV,texture,0.81,both,material
3,furniture,purple,wooden,26,NA,chair,color,0.87,both,material
3,food,metal,dry,27,NA,tomato,material,0.13,first,texture
3,food,red,hard,28,NA,apple,color,0.68,both,texture
4,food,short,green,3,no,banana,size,0.68,second,color
4,furniture,wet,round,4,no,couch,texture,0.84,second,shape
4,furniture,red,new,5,no,couch,color,0.5,both,age
4,food,good,wide,6,no,banana,quality,0.67,neither,size
4,furniture,hard,green,7,no,chair,texture,0.84,second,color
4,furniture,big,soft,8,no,TV,size,0.79,both,texture
4,food,new,hard,9,no,apple,age,0.4,first,texture
4,food,metal,new,10,no,apple,material,0.82,first,age
4,food,metal,new,11,no,banana,material,0.49,first,age
4,food,small,brown,12,no,cheese,size,0.74,first,color
4,furniture,round,wooden,13,no,chair,shape,0.85,first,material
4,food,red,wide,14,no,tomato,color,0.63,first,size
4,food,narrow,bad,15,no,tomato,size,0.8,first,quality
4,food,square,big,16,no,cheese,shape,0.9,both,size
4,furniture,wooden,bad,17,no,chair,material,0.68,both,quality
4,food,hard,bad,18,no,cheese,texture,0.89,second,quality
4,furniture,plastic,square,19,no,TV,material,0.82,neither,shape
4,food,purple,narrow,20,no,cheese,color,0.77,first,size
4,furniture,wet,blue,21,no,chair,texture,0.89,second,color
4,furniture,hard,square,22,no,fan,texture,0.66,first,shape
4,food,long,dry,23,no,carrot,size,0.89,neither,texture
4,food,soft,wooden,24,no,cheese,texture,0.76,first,material
4,furniture,wet,good,25,no,chair,texture,0.52,neither,quality
4,food,brown,new,26,no,banana,color,0.78,second,age
4,food,square,dry,27,no,apple,shape,0.78,first,texture
4,furniture,big,red,28,no,chair,size,0.77,first,color
5,food,narrow,purple,3,NA,banana,size,0.49,second,color
5,furniture,soft,green,4,NA,chair,texture,0.13,neither,color
5,furniture,hard,old,5,NA,chair,texture,0.27,first,age
5,food,old,brown,6,NA,apple,age,0.77,neither,color
5,furniture,new,long,7,NA,table,age,0.73,neither,size
5,furniture,metal,bad,8,no,chair,material,NA,second,quality
5,furniture,green,wooden,9,NA,couch,color,0.72,neither,material
5,furniture,green,metal,10,NA,fan,color,0.12,second,material
5,food,old,narrow,11,no,banana,age,NA,both,size
5,furniture,old,red,12,NA,table,age,0.87,neither,color
5,food,good,big,13,NA,tomato,quality,0.18,second,size
5,food,plastic,round,14,NA,carrot,material,0.24,second,shape
5,food,beautiful,narrow,15,NA,banana,age,0.25,neither,size
5,food,new,wooden,16,NA,tomato,age,0.18,first,material
5,furniture,new,narrow,17,NA,TV,age,0.75,neither,size
5,furniture,soft,old,18,no,fan,texture,NA,both,age
5,furniture,bad,wide,19,no,TV,quality,NA,both,size
5,food,good,green,20,NA,carrot,quality,0.87,first,color
5,furniture,square,small,21,NA,table,shape,0.75,neither,size
5,food,wooden,dry,22,NA,tomato,material,0.26,second,texture
5,food,big,blue,23,no,carrot,size,NA,first,color
5,furniture,wet,blue,24,no,chair,texture,NA,second,color
5,furniture,new,good,25,NA,TV,age,0.19,neither,quality
5,food,wet,long,26,NA,apple,texture,0.87,both,size
5,furniture,purple,narrow,27,NA,couch,color,0.81,both,size
5,food,big,dry,28,NA,carrot,size,0.79,second,texture
6,furniture,blue,square,3,NA,fan,color,0.65,both,shape
6,food,small,old,4,NA,tomato,size,0.51,both,age
6,furniture,wide,brown,5,NA,chair,size,0.68,first,color
6,furniture,good,blue,6,NA,couch,quality,0.4,first,color
6,furniture,red,long,7,NA,TV,color,0.63,second,size
6,furniture,wooden,red,8,NA,chair,material,0.45,second,color
6,furniture,metal,purple,9,NA,table,material,0.56,both,color
6,food,square,hard,10,NA,apple,shape,0.66,second,texture
6,furniture,yellow,short,11,NA,table,color,0.5,second,size
6,furniture,old,brown,12,NA,fan,age,0.39,first,color
6,food,wide,brown,13,NA,apple,size,0.62,second,color
6,furniture,good,green,14,NA,table,quality,0.45,second,color
6,food,hard,round,15,NA,banana,texture,0.63,first,shape
6,furniture,wide,beautiful,16,NA,table,size,0.44,first,age
6,food,metal,old,17,NA,banana,material,0.64,both,age
6,furniture,short,square,18,NA,chair,size,0.41,second,shape
6,furniture,yellow,dry,19,NA,TV,color,0.59,first,texture
6,food,bad,wide,20,NA,tomato,quality,0.8,both,size
6,food,brown,bad,21,NA,cheese,color,0.48,neither,quality
6,food,wooden,round,22,NA,cheese,material,0.31,neither,shape
6,furniture,wet,purple,23,NA,fan,texture,0.55,first,color
6,furniture,purple,good,24,NA,fan,color,0.73,second,quality
6,furniture,wooden,dry,25,NA,couch,material,0.48,neither,texture
6,furniture,brown,new,26,NA,chair,color,0.67,both,age
6,furniture,good,short,27,NA,fan,quality,0.48,both,size
6,food,wooden,new,28,NA,apple,material,0.33,first,age
7,furniture,purple,round,3,no,TV,color,0.26,both,shape
7,food,blue,big,4,no,cheese,color,0.39,first,size
7,furniture,green,narrow,5,no,table,color,0.57,both,size
7,food,dry,brown,6,no,banana,texture,0.64,neither,color
7,food,plastic,hard,7,no,carrot,material,0.61,neither,texture
7,food,wooden,hard,8,no,apple,material,0.32,second,texture
7,furniture,good,hard,9,no,chair,quality,0.56,second,texture
7,furniture,good,yellow,10,no,table,quality,0.46,second,color
7,furniture,round,new,11,no,TV,shape,0.59,both,age
7,food,good,small,12,no,banana,quality,0.64,both,size
7,furniture,wooden,green,13,NA,table,material,0.4,both,color
7,food,big,round,14,NA,tomato,size,0.5,both,shape
7,food,green,metal,15,NA,tomato,color,0.38,neither,material
7,furniture,bad,new,16,no,TV,quality,0.75,first,age
7,furniture,purple,small,17,no,couch,color,0.49,first,size
7,food,long,soft,18,NA,cheese,size,0.78,first,texture
7,food,old,wide,19,NA,cheese,age,0.74,first,size
7,food,plastic,hard,20,NA,banana,material,0.58,neither,texture
7,food,dry,square,21,NA,apple,texture,0.51,both,shape
7,furniture,brown,big,22,NA,table,color,0.71,both,size
7,food,metal,green,23,NA,carrot,material,0.78,second,color
7,furniture,wet,wide,24,NA,table,texture,0.59,second,size
7,food,wooden,green,25,NA,carrot,material,0.41,second,color
7,food,long,metal,26,NA,banana,size,0.65,second,material
7,food,red,short,27,no,banana,color,0.38,both,size
7,furniture,short,green,28,no,TV,size,0.56,second,color
8,furniture,red,bad,3,no,table,color,NA,second,quality
8,furniture,plastic,wet,4,no,TV,material,NA,second,texture
8,food,round,big,5,no,banana,shape,0.79,second,size
8,furniture,big,hard,6,NA,table,size,0.58,both,texture
8,furniture,metal,bad,7,NA,couch,material,0.62,first,quality
8,food,yellow,dry,8,no,banana,color,0.32,second,texture
8,furniture,new,plastic,9,no,chair,age,0.47,second,material
8,furniture,wide,wooden,10,NA,TV,size,0.78,first,material
8,furniture,wide,wet,11,NA,couch,size,0.1,first,texture
8,food,long,good,12,no,apple,size,0.74,second,quality
8,furniture,beautiful,metal,13,NA,fan,age,0.04,neither,material
8,food,wet,green,14,NA,cheese,texture,0.67,first,color
8,furniture,dry,purple,15,NA,chair,texture,0.08,neither,color
8,furniture,plastic,wide,16,NA,couch,material,0.94,second,size
8,furniture,metal,old,17,NA,couch,material,0.93,both,age
8,food,long,square,18,NA,cheese,size,0.91,first,shape
