date,workerid,amount
Wed Apr 17 17:39:27 PDT 2019,A3FVXFQI4UXJ40,0.4
Wed Apr 17 18:13:04 PDT 2019,A39Q8ASSQ8RO2Z,0.4
Sat Apr 20 17:50:20 PDT 2019,A3MH82G4FZXG8U,0.4
Wed Apr 24 11:45:27 PDT 2019,ABLX7SHMLMFLT,0.4
Thu Apr 25 14:07:24 PDT 2019,A1F5GZ5YVH3TMC,0.4
Sat Apr 27 03:55:15 PDT 2019,ALPYCKFZVA2XE,0.4
Sun Apr 28 22:23:43 PDT 2019,A3MNVY7TDODBGM,0.4
Thu May 02 16:54:37 PDT 2019,A12ATVBE1I4567,0.4
Tue May 14 00:01:41 PDT 2019,ACBWXQ7XU65FI,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
