workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class,assess,yearsLived,lived,outsideLanguage,language,enjoyment,gender,age,describe,comments,proficiency,education,homeLanguage,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,是,heavy,couch,0.02,furniture,3,size,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,不是,bad,potato,0,food,4,quality,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,不是,red,cheese,0.03,food,5,color,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,不是,plastic,bed,0.01,furniture,6,material,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,是,big,cheese,0.01,food,7,size,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,不是,fresh,cheese,0,food,8,age,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,是,purple,bed,0.06,furniture,9,color,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,是,old,potato,0.01,food,10,age,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,不是,round,chair,0.02,furniture,11,shape,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
0,是,brown,potato,0.04,food,12,color,Yes,5plus,before8,english,中文,2,Female,30,ChineseChinese,,native,3,chinese,Mac,900,1440,Safari,3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,319P43LJ7WVGW7F65Y0MR7ZB7M6Z72,汉语语句,回答关于物体描述的问题,语言 研究 乐趣 认知科学 大学 汉语 chinese,$0.40,Sat May 18 09:20:53 PDT 2019,9,1,0,8,Assignable,NotReviewed,1 cond,1800,60000,Fri May 31 09:17:33 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3EKZL9T8Y8HGRC1QW1X9M7UUVXUCHS,3MTMREQS4WEDI7XAYOSK6YAIUUAWAR,0,Approved,Sun May 19 02:57:30 PDT 2019,Sat May 18 10:13:55 PDT 2019,Sat May 18 10:17:30 PDT 2019,Sun May 19 02:57:59 PDT 2019,,,,,[],3.4942166666666665
