date,workerid,amount
Sat May 18 10:02:11 PDT 2019,A2BF2FUO6F63N7,0.4
Sat May 18 10:32:03 PDT 2019,A3VP02KDUZIV0V,0.4
Sat May 18 15:36:53 PDT 2019,A22HO9E8JY4WEU,0.4
Sat May 18 17:56:38 PDT 2019,A345SA24CSYZDC,0.4
Mon May 20 09:47:18 PDT 2019,A2T79473SWZ0L6,0.4
Mon May 20 20:34:05 PDT 2019,A2TIEZRVFLY4FE,0.4
Mon May 20 21:24:03 PDT 2019,AP1VVF168QF2C,0.4
Mon May 20 22:29:16 PDT 2019,A3M3DCE0R1ZWQS,0.4
Sat May 25 10:20:44 PDT 2019,A29IGBZ9R3C59H,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
